epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,5214.94,0.8614,1.43969,0.75621,1.06315,0,0.80872,0.76305,0.80099,0.57328,0.70821,0.67068,0.64179,0.20303,1.00751,1.19971,0.98713,1.08996,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,5323.4,0.87022,1.45101,0.76354,1.07092,0,0.83048,0.73092,0.77185,0.5768,0.75405,0.63855,0.60526,0.19237,0.98029,1.21751,0.97903,1.06887,0,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,5432.77,0.86159,1.46391,0.74592,1.05705,0,0.82225,0.78027,0.80432,0.57976,0.72299,0.67083,0.62815,0.20289,0.97249,1.20747,0.9497,1.05701,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,5541.98,0.85472,1.43857,0.7409,1.0574,0,0.87183,0.72691,0.81222,0.58816,0.7466,0.62249,0.62198,0.20229,0.96547,1.21307,0.98967,1.04775,0,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,5650.46,0.84784,1.43287,0.7265,1.05775,0,0.83401,0.73092,0.76982,0.56889,0.74197,0.6506,0.61647,0.19396,0.98131,1.21476,1.0059,1.03647,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,5759.68,0.84884,1.42192,0.73878,1.05711,0,0.80318,0.76707,0.77707,0.58053,0.71273,0.66759,0.62325,0.1968,1.00137,1.20425,1.01901,1.06103,0,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,5855.07,0.86463,1.44672,0.7411,1.06134,0,0.84433,0.74064,0.78579,0.56976,0.747,0.65218,0.61973,0.19555,0.97484,1.20274,0.95642,1.05373,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,5950.57,0.84584,1.4189,0.71387,1.0585,0,0.81262,0.74892,0.79688,0.59,0.72535,0.67882,0.66447,0.20869,0.97912,1.17325,0.99257,1.06447,0,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,6046.08,0.85544,1.44741,0.73181,1.05769,0,0.82477,0.73719,0.80262,0.59905,0.73504,0.65732,0.63098,0.2043,0.99286,1.18483,0.96494,1.06281,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,6141.1,0.8543,1.4496,0.72732,1.06156,0,0.83831,0.74962,0.79287,0.58955,0.7316,0.68965,0.64088,0.21262,0.97588,1.19203,0.96096,1.05179,0,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
